,Date,Customer Name,Item Number,Item  Description,Quantity,Unit Price
46245,1-Jun-20,CAR & GENERAL (TRD)- INGERSOLL RAND  - AFTERMARKET(KSH),WF2075,WATER FILTER,16,"1,700.00"
46247,1-Jun-20,CAR & GENERAL (TRD)- INGERSOLL RAND  - AFTERMARKET(KSH),FF202,FUEL FILTER,8,"2,700.00"
46248,1-Jun-20,CAR & GENERAL (TRD)- INGERSOLL RAND  - AFTERMARKET(KSH),LF3959,LUBE FILTER,2,"1,200.00"
46249,1-Jun-20,CAR & GENERAL (TRD)- INGERSOLL RAND  - AFTERMARKET(KSH),FF42000,FUEL FILTER USER FRIENDLY VERSION OF FF5033/ FF5052/ FF5074,6,"1,000.00"
46250,1-Jun-20,CAR & GENERAL (TRD)- INGERSOLL RAND  - AFTERMARKET(KSH),LF670,LUBE FILTER,20,"1,550.00"
46253,1-Jun-20,ASSOCIATION OF KENYA INSURERS,FF5524,COALESCER FILTER CARTRIDGE METAL,2,762
46254,1-Jun-20,ASSOCIATION OF KENYA INSURERS,AF25904,AIR FILTER,1,"8,635.00"
46255,1-Jun-20,ASSOCIATION OF KENYA INSURERS,LF16061,LUBE FILTER,1,"3,218.00"
46256,1-Jun-20,ASSOCIATION OF KENYA INSURERS,881949,PREMIUM BLUE (Drum),10,520
46257,1-Jun-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),LF3806,LUBE FILTER,5,"1,800.00"
46258,1-Jun-20,CASH SALES - CUMMINS,FF5461,FUEL FILTER SPINON,1,"1,179.98"
46259,1-Jul-20,CASH SALES - CUMMINS,FF231,FUEL FILTER,12,850
46260,1-Jul-20,CASH SALES - CUMMINS,LF4054,LUBE FILTER,12,800
46261,1-Jun-20,SHOPRITES KENYA,WF2126,DCA4 WATER FILTER,1,"4,151.83"
46262,1-Jun-20,SHOPRITES KENYA,LF9070,LUBE FILTER,1,"5,399.80"
46263,1-Jun-20,SHOPRITES KENYA,FS1040,FUEL FILTER,1,"5,343.98"
46264,1-Jun-20,SHOPRITES KENYA,AF25708,AIR FILTER-RADIAL SEAL PRIMARY,1,"10,548.00"
46265,1-Jun-20,SHOPRITES KENYA,881949,PREMIUM BLUE,100,500
46266,1-Jun-20,KCB BANK KENYA LIMITED,LP-LF-10000-59651 (PERKINS),FUEL FILTER,1,"3,756.05"
46267,1-Jul-20,CASH SALES - CUMMINS,AH1136,AIR FILTER HOUSING,1,"4,000.00"
46269,1-Jul-20,CASH SALES - CUMMINS,AH1196,AIR FILTER HOUSING,1,"9,000.00"
46270,1-Jul-20,CASH SALES - CUMMINS,LF3000,LUBE FILTER,1,"4,000.00"
46282,1-Jul-20,JAY TRANSPORTERS LTD,WF2071,WATER FILTER (DCA IV),12,"1,100.00"
46283,1-Jul-20,JAY TRANSPORTERS LTD,LF9080,LUBE FILTER,6,"4,200.00"
46294,1-Jul-20,SWISSPORT KENYA LIMITED,LF9070,LUBE FILTER,1,"5,399.80"
46295,1-Jul-20,SWISSPORT KENYA LIMITED,WF2126,DCA4 WATER FILTER,1,"4,151.83"
46296,1-Jul-20,SWISSPORT KENYA LIMITED,881949,PREMIUM BLUE,100,520
46297,1-Jul-20,SWISSPORT KENYA LIMITED,AF26173,AIR FILTER,1,"13,446.33"
46298,1-Jul-20,FRANCIS ATWOLI,AF26093,AIR CLEANER,1,"3,600.00"
46299,1-Jul-20,FRANCIS ATWOLI,AF26094,AIR FILTER,1,"8,200.00"
46301,1-Jul-20,FRANCIS ATWOLI,881949,PREMIUM BLUE OIL (208 Drum),10,520
46302,1-Jul-20,FRANCIS ATWOLI,LF16061,LUBE FILTER,1,"3,757.00"
46303,1-Jul-20,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,40,520
46304,1-Jul-20,SERVICE CONTRACT DELIVERIES,WF2076,DCA4 WATER FILTER,1,"3,857.00"
46306,1-Jul-20,SERVICE CONTRACT DELIVERIES,LF9009,OIL FILTER COMBO SPINION,1,"8,946.00"
46307,1-Jul-20,SERVICE CONTRACT DELIVERIES,AF26173,AIR CLEANER,1,"17,895.00"
46308,1-Jul-20,SERVICE CONTRACT DELIVERIES,LF700,LUBE FILTER,1,"1,106.00"
46310,1-Jul-20,SERVICE CONTRACT DELIVERIES,AF25904,AIR FILTER,1,"8,635.00"
46311,1-Jul-20,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,10,520
46312,1-Jul-20,PRIDE ENTERPRISES LTD,LF17505MX,LUBE FILTER,6,"1,200.00"
46313,1-Jul-20,PRIDE ENTERPRISES LTD,FF5324,FUEL FILTER,8,"1,500.00"
46315,1-Jul-20,PRIDE ENTERPRISES LTD,LF17505MX,LUBE FILTER,6,"1,200.00"
46316,1-Jul-20,CASH SALES - CUMMINS,LF3349,LUBE FILTER,1,995
46318,1-Jul-20,CASH SALES - CUMMINS,FF5018,FUEL FILTER (REP.FF4013),1,530
46319,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,LF670,OIL FILTER CELLULOSE SPIN,3,"3,040.00"
46320,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,FS1006,FUEL/WATER SEPARATOR,2,"6,477.60"
46321,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,LF777,LUBE FILTER,1,"2,904.80"
46322,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,881949,PREMIUM BLUE OIL,100,468
46323,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,WF2076,DCA4 WATER FILTER,2,"3,085.60"
46324,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,AH1100,AIR HOUSING-STANDARD,2,"19,735.20"
46325,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,WF2076,DCA4 WATER FILTER,2,"3,085.60"
46326,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,LF777,LUBE FILTER,1,"2,904.80"
46327,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,FS1006,FUEL/WATER SEPARATOR,2,"6,477.60"
46328,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,AH1100,AIR HOUSING-STANDARD,2,"19,735.20"
46329,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,LF670,OIL FILTER CELLULOSE SPIN,3,"3,040.00"
46330,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,881949,PREMIUM BLUE OIL,100,468
46331,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,WF2126,DCA4 WATER FILTER,2,"4,071.20"
46332,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,881949,PREMIUM BLUE OIL,200,468
46333,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,LF9070,LUBE FILTER,2,"8,973.00"
46334,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,FS1040,FUEL FILTER,2,"10,219.20"
46335,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,AF26173,AIR CLEANER,2,"14,316.00"
46336,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,WF2126,DCA4 WATER FILTER,1,"4,071.20"
46337,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,AF26173,AIR CLEANER,1,"14,316.00"
46338,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,LF9070,LUBE FILTER,1,"8,973.00"
46339,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,881949,PREMIUM BLUE OIL,100,468
46340,1-Jul-20,OUTSOURCE TECHNIQUE LIMITED,FS1040,FUEL FILTER,1,"10,219.20"
46341,1-Jul-20,CASH SALES - CUMMINS,LF3349,LUBE FILTER,2,"1,500.00"
46343,1-Jul-20,CASH SALES - CUMMINS,FF5167,FUEL FILTER,2,"1,000.00"
46344,1-Jul-20,CAR & GENERAL (KENYA) LTD,LF16087,LUBE FILTER,1,"1,332.48"
46347,1-Jul-20,CAR & GENERAL (KENYA) LTD,881949,PREMIUM BLUE,20,500
46357,1-Jul-20,CAR & GENERAL (KENYA) LTD,AF25904,AIR FILTER,1,"5,000.00"
46364,1-Jul-20,CAR & GENERAL (KENYA) LTD,LF16087,LUBE FILTER,1,"1,332.48"
46365,1-Jul-20,CAR & GENERAL (KENYA) LTD,881949,PREMIUM BLUE,10,500
46369,1-Jul-20,CAR & GENERAL (KENYA) LTD,881949,PREMIUM BLUE,10,349.79
46370,1-Jul-20,CAR & GENERAL (KENYA) LTD,AF25904,AIR FILTER,1,"2,317.50"
46371,1-Jul-20,CAR & GENERAL (KENYA) LTD,LF16098,LUBE FILTER,1,750
46372,1-Jul-20,CAR & GENERAL (KENYA) LTD,LF16087,LUBE FILTER,1,"1,332.48"
46374,1-Jul-20,CAR & GENERAL (KENYA) LTD,AF25904,AIR FILTER,1,"3,000.00"
46377,1-Jul-20,CAR & GENERAL (KENYA) LTD,881949,PREMIUM BLUE,15,389
46380,1-Aug-20,TIMESALES LTD,LF4054,LUBE FILTER,1,893.1
46381,1-Aug-20,TIMESALES LTD,FF5018,FUEL FILTER (REP.FF4013),4,481.43
46382,1-Aug-20,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,15,520
46384,1-Aug-20,SERVICE CONTRACT DELIVERIES,FF5018,FUEL FILTER (REP.FF4013),1,"6,806.00"
46385,1-Aug-20,SERVICE CONTRACT DELIVERIES,LF3959,LUBE FILTER,1,"1,772.00"
46386,1-Aug-20,SERVICE CONTRACT DELIVERIES,AF25910,AIR FILTER,1,"28,429.00"
46387,1-Aug-20,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,20,442
46388,1-Aug-20,SERVICE CONTRACT DELIVERIES,FF5018,FUEL FILTER,1,"2,232.00"
46390,1-Aug-20,GURU NANAK R.S HOSPITAL,LF9009,LUBE FILTER,1,"4,572.00"
46392,1-Aug-20,GURU NANAK R.S HOSPITAL,AH1196,AIR FILTER HOUSING,1,"12,626.00"
46393,1-Aug-20,GURU NANAK R.S HOSPITAL,881949,PREMIUM BLUE,25,520
46394,1-Aug-20,GURU NANAK R.S HOSPITAL,WF2073,DCA4 WATER FILTER,1,"1,800.30"
46395,1-Aug-20,PARKLANDS SPORTS CLUB,LF3970,LUBE FILTER,1,"2,124.25"
46397,1-Aug-20,PARKLANDS SPORTS CLUB,FF5421,FUEL FILTER SPINON,1,"1,655.42"
46398,1-Aug-20,PARKLANDS SPORTS CLUB,881949,PREMIUM BLUE OIL,25,520
46399,1-Aug-20,DAYSTAR UNIVERSITY VALLEY ROAD,FF5421,FUEL FILTER SPINON,4,"1,655.42"
46401,1-Aug-20,DAYSTAR UNIVERSITY VALLEY ROAD,LF3970,LUBE FILTER,4,"2,124.25"
46402,1-Aug-20,DAYSTAR UNIVERSITY VALLEY ROAD,881949,PREMIUM BLUE OIL,300,520
46403,1-Aug-20,PARKLANDS SPORTS CLUB,LF9009,OIL FILTER COMBO SPINION,1,"6,816.00"
46404,1-Aug-20,PARKLANDS SPORTS CLUB,FF5580,FUEL FILTER,1,"2,268.80"
46405,1-Aug-20,PARKLANDS SPORTS CLUB,AF26173,AIR CLEANER,1,"13,634.40"
46406,1-Aug-20,PARKLANDS SPORTS CLUB,881949,PREMIUM BLUE,25,468
46408,1-Aug-20,MAMLAKA HILL CHAPEL,AF26094,AIR FILTER,1,"12,143.00"
46409,1-Aug-20,MAMLAKA HILL CHAPEL,881949,PREMIUM BLUE OIL,10,520
46410,1-Aug-20,MAMLAKA HILL CHAPEL,AF26093,AIR CLEANER,1,"2,864.00"
46411,1-Aug-20,MAMLAKA HILL CHAPEL,FS1280,FUEL SEPARATOR SPINON STR,1,"6,129.00"
46412,1-Aug-20,MAMLAKA HILL CHAPEL,LF16061,LUBE FILTER,1,"4,114.00"
46413,1-Aug-20,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,261.05
46418,1-Aug-20,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,10,520
46420,1-Aug-20,SERVICE CONTRACT DELIVERIES,FF5524,COALESCER FILTER CARTRIDGE METAL,2,975
46421,1-Aug-20,SERVICE CONTRACT DELIVERIES,LF16061,LUBE FILTER,1,"3,918.00"
46428,1-Aug-20,CASH SALES - CUMMINS,LF9009,LUBE FILTER,3,"3,200.00"
46429,1-Aug-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),LF3462,LUBE FILTER,3,700
46430,1-Aug-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF25557,AIR FILTER,8,"1,700.00"
46431,1-Aug-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF25558,AIR FILTER,8,"1,900.00"
46433,1-Aug-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF25557,AIR FILTER,8,"1,700.00"
46435,1-Aug-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),FF167,FUEL FILTER,24,350
46436,1-Aug-20,PARKLANDS SPORTS CLUB,LF3349,LUBE FILTER,1,"9,522.40"
46437,1-Aug-20,PARKLANDS SPORTS CLUB,FS1280,FUEL SEPARATOR SPINON STR,1,"1,324.00"
46438,1-Aug-20,PARKLANDS SPORTS CLUB,AF25910,AIR FILTER,1,"12,229.60"
46439,1-Aug-20,PARKLANDS SPORTS CLUB,FF42000,FUEL FILTER SPIN-ON,1,"1,064.80"
46440,1-Aug-20,PARKLANDS SPORTS CLUB,AF25911,AIR FILTER-SECONDARY,1,"4,841.60"
46441,1-Aug-20,PARKLANDS SPORTS CLUB,881949,PREMIUM BLUE OIL,15,468
46442,1-Aug-20,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),FS1976500,FH230 PLUS ELEMENT - 25UM FH230 - 25 MICRON,1,"3,757.11"
46443,1-Sep-20,UNIFILTERS KENYA LTD,LF9009,LUBE FILTER,6,"3,200.00"
46445,1-Sep-20,TIMESALES LTD,AF424M,AIR FILTER,2,"4,430.00"
46446,1-Sep-20,TIMESALES LTD,AF418,AIR FILTER,2,"3,800.00"
46450,1-Sep-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF2628600,AIR FILTER,1,"3,900.00"
46452,1-Sep-20,CASH SALES - CUMMINS,WF2075,WATER FILTER,2,"1,400.00"
46453,1-Sep-20,CASH SALES - CUMMINS,LF16029,LUBE FILTER,1,"6,600.00"
46454,1-Sep-20,CASH SALES - CUMMINS,LF777,LUBE FILTER,2,"1,800.00"
46455,1-Sep-20,CASH SALES - CUMMINS,FF5511,FUEL FILTER,2,"4,300.00"
46456,1-Sep-20,CASH SALES - CUMMINS,LF777,LUBE FILTER,4,"1,800.00"
46457,1-Sep-20,CASH SALES - CUMMINS,LF670,LUBE FILTER,4,"1,600.00"
46459,1-Sep-20,CASH SALES - CUMMINS,LF4054,LUBE FILTER,24,800
46460,1-Sep-20,CASH SALES - CUMMINS,FF231,FUEL FILTER,24,850
46464,1-Sep-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF332,AIR FILTER,5,"5,650.00"
46466,1-Sep-20,CASH SALES - CUMMINS,AF25911,AIR FILTER,1,"5,000.00"
46467,1-Sep-20,CASH SALES - CUMMINS,AF25910,AIR FILTER,1,"9,000.00"
46469,1-Sep-20,CASH SALES - CUMMINS,FF5018,FUEL FILTER (REP.FF4013),1,600
46470,1-Sep-20,CASH SALES - CUMMINS,LF3959,LUBE FILTER,1,"1,000.00"
46471,1-Sep-20,SERVICE CONTRACT DELIVERIES,AH1136,AIR FILTER HOUSING,1,"9,711.25"
46473,1-Sep-20,SERVICE CONTRACT DELIVERIES,LF3959,LUBE FILTER,1,"1,506.00"
46474,1-Sep-20,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,20,442
46475,1-Sep-20,SAFARICOM,AF27867,AIR FILTER,1,"6,300.00"
46476,1-Sep-20,SAFARICOM,LF3350,LUBE FILTER,1,"2,940.00"
46477,1-Sep-20,SAFARICOM,FF167,FUEL FILTER,1,"3,360.00"
46478,1-Sep-20,SAFARICOM,881949,PREMIUM BLUE,10,520
46482,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,881949,PREMIUM BLUE,25,500
46484,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,WF2073,DCA4 WATER FILTER,1,"1,800.30"
46485,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,881949,PREMIUM BLUE OIL,25,500
46486,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,LF9009,OIL FILTER COMBO SPINION,1,"7,604.10"
46487,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,AH1196,AIR FILTER HOUSING,1,"10,732.10"
46489,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,LF16061,LUBE FILTER,1,"3,291.20"
46490,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,AF26094,AIR FILTER,1,"9,714.40"
46491,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,881949,PREMIUM BLUE -1  LITRE,10,500
46492,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,881949,PREMIUM BLUE OIL,15,500
46493,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,FF5485,FUEL FILTER,2,"2,199.20"
46494,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,LF16015,OIL FILTER CELLULOSE SPIN,1,"1,672.00"
46495,1-Oct-20,SOUTH EASTERN UNIVERSITY COLLEGE,AH0113600,RIGID MOUNT AIR SYSTEM,1,"9,140.00"
46498,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,FF5319,FUEL FILTER SPINON,1,"6,319.00"
