,Date,Customer Name,Item Number,Item  Description,Quantity,Unit Price
0,31-Oct-17,INNSCOR KENYA LTD,WF2073,WATER FILTER,4,"2,118.00"
2,31-Oct-17,INNSCOR KENYA LTD,LF9009,OIL FILTER COMBO SPINON,4,"8,946.00"
3,31-Oct-17,INNSCOR KENYA LTD,881949,PREMIUM BLUE -1  LITRE,100,520
6,18-Dec-17,HARAMBEE COOPERATIVE SAVINGS,WF2126,DCA4 WATER FILTER,1,"4,846.00"
9,18-Dec-17,HARAMBEE COOPERATIVE SAVINGS,881949,PREMIUM BLUE -1  LITRE,100,500
10,18-Dec-17,TARIKIVILLE LIMITED,AF26094,AIR FILTER-PRIMARY,1,"8,318.00"
11,18-Dec-17,TARIKIVILLE LIMITED,AF26093,AIR FILTER,1,"2,255.05"
13,18-Dec-17,TARIKIVILLE LIMITED,881949,PREMIUM BLUE -1  LITRE,15,442
14,18-Dec-17,TARIKIVILLE LIMITED,LF16061,LUBE FILTER,1,"3,240.20"
15,18-Dec-17,TWIGA STATIONERS & PRINTERS,881949,PREMIUM BLUE -1  LITRE,100,500
18,18-Dec-17,TWIGA STATIONERS & PRINTERS,WF2126,DCA4 WATER FILTER,1,"4,580.00"
19,18-Dec-17,BAYER EAST AFRICA LTD,881949,PREMIUM BLUE -1  LITRE,30,468
20,18-Dec-17,BAYER EAST AFRICA LTD,FF5580,FUEL FILTER SPINON,1,"2,680.20"
21,18-Dec-17,BAYER EAST AFRICA LTD,FS19732,FUEL SEPARATOR,1,"6,565.50"
22,18-Dec-17,BAYER EAST AFRICA LTD,WF2074,WATER FILTER,1,"2,131.20"
23,18-Dec-17,BAYER EAST AFRICA LTD,LF9009,OIL FILTER COMBO SPINON,1,"8,051.40"
25,18-Dec-17,FIDELITY SHIELD INSURANCE CO. LTD,881949,PREMIUM BLUE -1  LITRE,100,500
26,18-Dec-17,FIDELITY SHIELD INSURANCE CO. LTD,WF2126,DCA4 WATER FILTER,1,"3,690.00"
28,18-Dec-17,UNIVERSITY OF NAIROBI LOWER KABETE,WF2126,DCA4 WATER FILTER,1,"4,100.00"
30,18-Dec-17,UNIVERSITY OF NAIROBI LOWER KABETE,881949,PREMIUM BLUE -1  LITRE,100,500
32,18-Dec-17,TOYOTA  KENYA LIMITED,AF25910,AIR FILTER-PRIMARY,4,"7,734.00"
33,18-Dec-17,TOYOTA  KENYA LIMITED,AF25911,AIR FILTER,4,"6,621.00"
34,18-Dec-17,TOYOTA  KENYA LIMITED,LF3959,OIL FILTER CELLULOSE SPIN,4,"1,382.43"
38,18-Dec-17,TOYOTA  KENYA LIMITED,881949,PREMIUM BLUE -1  LITRE,60,500
39,1-Nov-17,KENYA SCHOOL OF GOVERNMENT,881949,PREMIUM BLUE -1  LITRE,100,520
40,1-Nov-17,KENYA SCHOOL OF GOVERNMENT,AF25708,AIR FILTER-RADIAL SEAL PRIMARY,1,"13,700.00"
42,1-Nov-17,KENYA SCHOOL OF GOVERNMENT,WF2126,DCA4 WATER FILTER,1,"6,500.00"
44,30-Jan-20,PARAMOUNT PLAZA,LF16015,LUBE FILTER,1,"3,376.00"
45,30-Jan-20,PARAMOUNT PLAZA,FF5485,FUEL FILTER,2,"5,342.00"
46,30-Jan-20,PARAMOUNT PLAZA,AH19037,AIR FILTER HOUSING,1,"14,123.00"
47,30-Jan-20,PARAMOUNT PLAZA,881949,PREMIUM BLUE,20,520
4453,5-Oct-20,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),881949,PREMIUM BLUE,5,351.18
4789,2-Oct-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,15,"3,000.00"
4791,2-Oct-17,CASH SALES - CUMMINS,AF25878,AIR FILTER-SECONDARY,3,"5,816.00"
4797,3-Oct-17,CASH SALES - CUMMINS,881949,PREMIUM BLUE -1  LITRE,10,520
4800,3-Oct-17,CASH SALES - CUMMINS,LF16061,OIL FILTER COMBO SPINON,1,"2,647.00"
4801,3-Oct-17,CASH SALES - CUMMINS,FF5524,FUEL FILTER,2,560.74
4802,3-Oct-17,CASH SALES - CUMMINS,LF16087,OIL FILTER CELLULOSE SPIN,1,"1,200.00"
4805,3-Oct-17,MATER HOSPITAL,AF25904,AIR FILTER-PRIMARY,1,"9,200.00"
4806,3-Oct-17,MATER HOSPITAL,LF16061,OIL FILTER,1,"4,500.00"
4807,3-Oct-17,MATER HOSPITAL,881949,PREMIUM BLUE -1  LITRE,10,520
4809,3-Oct-17,MATER HOSPITAL,FF5524,FUEL FILTER,2,"1,100.00"
4810,3-Oct-17,MATER HOSPITAL,WF2126,DCA4 WATER FILTER,1,"5,089.00"
4813,3-Oct-17,MATER HOSPITAL,AF26173,AIR FILTER,1,"17,895.00"
4814,3-Oct-17,MATER HOSPITAL,881949,PREMIUM BLUE -1  LITRE,100,520
4815,4-Oct-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,1,"8,635.00"
4816,4-Oct-17,CASH SALES - CUMMINS,881949,PREMIUM BLUE -1  LITRE,10,520
4819,4-Oct-17,CASH SALES - CUMMINS,LF16087,LUBE FILTER,1,"2,300.00"
4820,4-Oct-17,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR,24,"1,100.00"
4821,4-Oct-17,CASH SALES - CUMMINS,LF16087,OIL FILTER CELLULOSE SPIN,24,900
4826,4-Oct-17,CASH SALES - CUMMINS,FS1006,FUEL SEPARATOR,4,"4,500.00"
4828,4-Oct-17,CASH SALES - CUMMINS,AH1100,AIR HOUSING-STANDARD,3,"16,000.00"
4829,4-Oct-17,CASH SALES - CUMMINS,AF26173,Air Filter,1,"13,627.18"
4830,4-Oct-17,C&G ENGINEERING,881949,PREMIUM BLUE -1  LITRE,30,338
4831,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
4832,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF3338,OIL FILTER,1,880.6
4834,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF435KM,AIR FILTER,1,"3,177.01"
4836,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF16087,OIL FILTER CELLULOSE SPIN,1,"1,961.80"
4837,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
4838,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF25904,AIR FILTER-PRIMARY,1,"6,990.40"
4839,5-Oct-17,C&G ENGINEERING,881949,PREMIUM BLUE -1  LITRE,40,281.43
4841,5-Oct-17,MATER HOSPITAL,AF26187,AIR FILTER,1,"9,200.00"
4842,5-Oct-17,ALPHA GRAIN MILLERS LTD,881949,PREMIUM BLUE -1  LITRE,40,442
4843,5-Oct-17,ALPHA GRAIN MILLERS LTD,LF9009,OIL FILTER COMBO SPINON,1,"5,781.36"
4845,5-Oct-17,ALPHA GRAIN MILLERS LTD,WF2076,DCA4 WATER FILTER,1,"3,278.45"
4846,5-Oct-17,ALPHA GRAIN MILLERS LTD,FS1000,FUEL/WATER SEPARATOR,2,"2,712.18"
4848,5-Oct-17,ALPHA GRAIN MILLERS LTD,LF670,OIL FILTER CELLULOSE SPIN,3,"2,351.44"
4849,5-Oct-17,ALPHA GRAIN MILLERS LTD,AH1100,AIR HOUSING-STANDARD,2,"18,639.14"
4850,5-Oct-17,ALPHA GRAIN MILLERS LTD,FS1006,FUEL SEPARATOR,2,"6,554.86"
4851,5-Oct-17,ALPHA GRAIN MILLERS LTD,WF2076,DCA4 WATER FILTER,2,"3,122.73"
4852,5-Oct-17,ALPHA GRAIN MILLERS LTD,LF777,OIL FILTER CELLULOSE SPIN,1,"2,939.30"
4853,5-Oct-17,ALPHA GRAIN MILLERS LTD,881949,PREMIUM BLUE -1  LITRE,100,442
4855,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF700,LUBE FILTER,1,995.4
4856,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,468
4858,5-Oct-17,SERVICE CONTRACT DELIVERIES,FS1280,FUEL SEPARATOR,1,"2,363.40"
4860,5-Oct-17,CUMMINS C&G LIMITED,FF105,FUEL FILTER,2,521
4861,5-Oct-17,R.K.SANGHANI,LF3349,LUBE FILTER,1,750
4863,5-Oct-17,R.K.SANGHANI,FF5167,FUEL FILTER,1,650
4864,5-Oct-17,R.K.SANGHANI,FS1280,FUEL SEPARATOR SPINON STR,1,950
4865,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
4866,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF16061,LUBE FILTER,1,"2,736.15"
4868,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF26093,AIR FILTER,1,"1,960.95"
4869,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF26094,AIR FILTER-PRIMARY,1,"8,318.10"
4871,5-Oct-17,SERVICE CONTRACT DELIVERIES,LF700,LUBE FILTER,1,"1,961.80"
4872,5-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
4873,5-Oct-17,SERVICE CONTRACT DELIVERIES,AF25904,AIR FILTER-PRIMARY,1,"6,990.40"
4876,5-Oct-17,NATION MEDIA GROUP LTD,881949,PREMIUM BLUE -1  LITRE,100,468
4878,5-Oct-17,NATION MEDIA GROUP LTD,WF2126,DCA4 WATER FILTER,1,"4,580.10"
4879,5-Oct-17,NATION MEDIA GROUP LTD,AF25708,AIR FILTER-RADIAL SEAL PR,1,"16,105.50"
4880,6-Oct-17,FAIRMONT THE NORFORK,881949,PREMIUM BLUE -1  LITRE,100,483.6
4884,6-Oct-17,FAIRMONT THE NORFORK,WF2126,DCA4 WATER FILTER,1,"4,732.77"
4885,6-Oct-17,CASH SALES - CUMMINS,FF202,FUEL FILTER,2,"2,009.00"
4886,6-Oct-17,CASH SALES - CUMMINS,LF777,OIL FILTER CELLULOSE SPIN,1,"1,773.00"
4887,6-Oct-17,CASH SALES - CUMMINS,WF2076,DCA4 WATER FILTER,3,"1,634.00"
4888,6-Oct-17,CASH SALES - CUMMINS,LF700,OIL FILTER CELLULOSE SPIN,1,800
4889,6-Oct-17,CASH SALES - CUMMINS,LF670,OIL FILTER CELLULOSE SPIN,3,"1,551.00"
4890,6-Oct-17,CASH SALES - CUMMINS,LF3000,LUBE FILTER,1,"4,221.00"
4891,6-Oct-17,CASH SALES - CUMMINS,FS1212,FUEL WATER SEP,1,997
4892,6-Oct-17,CASH SALES - CUMMINS,FF5135,FUEL FILTER SPINON,2,950
4893,6-Oct-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,1,"3,500.00"
4894,6-Oct-17,CASH SALES - CUMMINS,AF928M,AIR CLEANER,1,"8,281.00"
4896,6-Oct-17,SERVICE CONTRACT DELIVERIES,LF3970,LUBE FILTER,1,"2,213.00"
4898,6-Oct-17,SERVICE CONTRACT DELIVERIES,FF5485,FUEL FILTER,1,"2,198.50"
4899,6-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,25,442
4901,6-Oct-17,CASH SALES - CUMMINS,LF16087,OIL FILTER CELLULOSE SPIN,4,"1,200.00"
4902,6-Oct-17,CASH SALES - CUMMINS,FF5167,FUEL FILTER,1,600
4906,6-Oct-17,MEDIAMAX NETWORK LTD,WF2076,DCA4 WATER FILTER,1,"3,664.15"
4907,6-Oct-17,MEDIAMAX NETWORK LTD,LF9009,OIL FILTER COMBO SPINON,1,"8,498.70"
4909,6-Oct-17,MEDIAMAX NETWORK LTD,FS1000,FUEL/WATER SEPARATOR,2,"2,500.40"
4910,6-Oct-17,MEDIAMAX NETWORK LTD,881949,PREMIUM BLUE -1  LITRE,40,494
4912,6-Oct-17,TIMESALES LTD,LF3349,LUBE FILTER,2,690
4913,6-Oct-17,TIMESALES LTD,FS1280,FUEL SEPARATOR,2,650
4914,6-Oct-17,TIMESALES LTD,AF1768M,AIR FILTER-PRIMARY,2,"4,430.00"
4915,6-Oct-17,TIMESALES LTD,AF1767,AIR FILTER-PRIMARY,2,"3,600.00"
4917,9-Oct-17,SERVICE CONTRACT DELIVERIES,FF105,FUEL FILTER,1,976.65
4918,9-Oct-17,SERVICE CONTRACT DELIVERIES,WF2071,WATER FILTER,1,"1,885.30"
4919,9-Oct-17,SERVICE CONTRACT DELIVERIES,LF9009,OIL FILTER COMBO SPINON,1,"7,604.10"
4920,9-Oct-17,SERVICE CONTRACT DELIVERIES,AF25437,AIR FILTER,1,"13,858.40"
4921,9-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,40,442
4922,9-Oct-17,UNITED NATIONS OFFICE AT NAIROBI,AF25708,AIR FILTER-RADIAL SEAL PRIMARY,4,"16,043.00"
4924,9-Oct-17,CAR & GENERAL KISUMU,LF16243,LUBE FILTER,1,"1,610.93"
4925,9-Oct-17,CAR & GENERAL KISUMU,AH19037-C,DIRECT MOUNT AIR SYSTEM,1,"6,821.42"
4926,9-Oct-17,WHITEFIELD  PLACE,LF16015,OIL FILTER CELLULOSE SPIN,1,"2,782.05"
4927,9-Oct-17,WHITEFIELD  PLACE,AH1136,AIR CLEANER,1,"9,248.00"
4928,9-Oct-17,WHITEFIELD  PLACE,FF5485,FUEL FILTER,2,"1,652.40"
4929,9-Oct-17,WHITEFIELD  PLACE,881949,PREMIUM BLUE -1  LITRE,15,442
4931,9-Oct-17,CASH SALES - CUMMINS,FS19811,FUEL FILTER,1,"1,850.00"
4933,9-Oct-17,CASH SALES - CUMMINS,AF25492,AIR FILTER,1,"3,900.00"
4934,9-Oct-17,CUMMINS C&G LIMITED,FS19925,FWS,1,"1,252.33"
4935,9-Oct-17,CUMMINS C&G LIMITED,881949,PREMIUM BLUE -1  LITRE,10,281.45
4936,9-Oct-17,CUMMINS C&G LIMITED,LF17356,LUBE FILTER,1,"1,009.19"
4938,9-Oct-17,MULTIPLE HAULIERS (EA) LTD,LF9009,OIL FILTER COMBO SPINON,10,"3,240.00"
4939,9-Oct-17,MULTIPLE HAULIERS (EA) LTD,FF5580,FUEL FILTER SPINON,10,"2,070.00"
4940,9-Oct-17,CIRCUIT POWER LTD,LF3567,LUBE FILTER,3,"1,580.00"
4941,9-Oct-17,CIRCUIT POWER LTD,FF5624,FUEL FILTER SPINON,1,"2,550.00"
4943,9-Oct-17,KAKUZI LIMITED,LF16087,OIL FILTER CELLULOSE SPIN,3,"1,881.88"
4945,9-Oct-17,C&G ENGINEERING,AF26237,AIR FILTER,2,"8,719.00"
4946,9-Oct-17,C&G ENGINEERING,LF667,LUBE FILTER,2,"1,674.00"
5017,10-Oct-17,RIVERSIDE REVERSION,LF9009,OIL FILTER COMBO SPINON,1,"7,242.00"
5018,10-Oct-17,RIVERSIDE REVERSION,WF2075,WATER FILTER,1,"2,290.75"
5019,10-Oct-17,RIVERSIDE REVERSION,FS1000,FUEL/WATER SEPARATOR,2,"2,714.05"
5020,10-Oct-17,RIVERSIDE REVERSION,881949,PREMIUM BLUE -1  LITRE,40,500
5023,10-Oct-17,CAR & GENERAL(NAKURU) Ltd,FF5135,FUEL FILTER SPINON,5,923.02
5024,10-Oct-17,CAR & GENERAL(NAKURU) Ltd,AF26044,DIRECT MOUNT AIR SYSTEM,1,"4,645.53"
5028,10-Oct-17,ALL TERRAIN SERVICES KENYA LTD,881949,PREMIUM BLUE -1  LITRE,10,500
5029,10-Oct-17,ALL TERRAIN SERVICES KENYA LTD,AF26094,AIR FILTER-PRIMARY,1,"10,601.00"
5030,10-Oct-17,ALL TERRAIN SERVICES KENYA LTD,AF26093,AIR FILTER,1,"3,161.00"
5031,10-Oct-17,ALL TERRAIN SERVICES KENYA LTD,LF16061,LUBE FILTER,1,"4,700.00"
5033,10-Oct-17,CLARENCE HOUSE APARTMENTS LTD,LF3959,OIL FILTER CELLULOSE SPIN,1,"1,772.00"
5035,10-Oct-17,CLARENCE HOUSE APARTMENTS LTD,881949,PREMIUM BLUE -1  LITRE,25,520
5037,10-Oct-17,CLARENCE HOUSE APARTMENTS LTD,AH1136,AIR CLEANER,1,"11,425.00"
5039,10-Oct-17,CAR & GENERAL(NAKURU) Ltd  - AFTERMARKET(KSH),FS19657,FWS SPIN-ON STRATAPORE,4,"4,087.91"
5040,10-Oct-17,CAR & GENERAL(NAKURU) Ltd  - AFTERMARKET(KSH),LF9028,OIL FILTER COMBO SPINON,3,"1,813.68"
5041,10-Oct-17,SERVICE CONTRACT DELIVERIES,LF16061,LUBE FILTER,1,"2,736.15"
5043,10-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
5044,10-Oct-17,SERVICE CONTRACT DELIVERIES,AF26094,AIR FILTER-PRIMARY,1,"8,318.10"
5045,10-Oct-17,SERVICE CONTRACT DELIVERIES,AF26093,AIR FILTER,1,"1,960.95"
5047,10-Oct-17,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR,3,650
5048,10-Oct-17,CASH SALES - CUMMINS,LF700,LUBE FILTER,2,700
5052,10-Oct-17,MAVUNO CHURCH,881949,PREMIUM BLUE -1  LITRE,15,520
5053,10-Oct-17,MAVUNO CHURCH,FF42000,FUEL FILTER SPIN-ON PLAST,1,"3,300.00"
5054,10-Oct-17,MAVUNO CHURCH,LF3349,LUBE FILTER,1,"2,250.00"
5055,10-Oct-17,MAVUNO CHURCH,AH1136,AIR CLEANER,1,"11,425.00"
5056,10-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
5057,10-Oct-17,SERVICE CONTRACT DELIVERIES,LF3706,LUBE FILTER,1,"2,125.00"
5058,10-Oct-17,SERVICE CONTRACT DELIVERIES,AF26187,AIR FILTER,1,"4,557.70"
5059,10-Oct-17,SERVICE CONTRACT DELIVERIES,FF51030,FUEL FILTER,1,"2,125.00"
5062,10-Nov-17,ROPHINE FIELD JUNIOR SCHOOL,881949,PREMIUM BLUE -1  LITRE,15,520
5064,10-Nov-17,ROPHINE FIELD JUNIOR SCHOOL,AH8742-C,DIRECT MOUNT AIR SYSTEM,1,"9,207.00"
5066,10-Nov-17,HON.MOODY AWORI,LF3605,AIR FILTER,1,"1,357.00"
5067,10-Nov-17,HON.MOODY AWORI,FF5524,FUEL FILTER,2,762
5068,10-Nov-17,HON.MOODY AWORI,881949,PREMIUM BLUE -1  LITRE,10,520
5069,10-Nov-17,SECUREX INVESTMENTS LTD,LF9009,OIL FILTER COMBO SPINON,1,"7,604.10"
5070,10-Nov-17,SECUREX INVESTMENTS LTD,881949,PREMIUM BLUE -1  LITRE,45,442
5071,10-Nov-17,SECUREX INVESTMENTS LTD,FS1212,FUEL WATER SEP,1,"2,714.05"
5072,10-Nov-17,SECUREX INVESTMENTS LTD,WF2076,DCA4 WATER FILTER,1,"2,404.88"
5075,10-Nov-17,SECUREX INVESTMENTS LTD,FF5485,FUEL FILTER,1,"1,976.25"
5076,10-Nov-17,SECUREX INVESTMENTS LTD,881949,PREMIUM BLUE -1  LITRE,25,442
5078,10-Nov-17,SECUREX INVESTMENTS LTD,LF3970,LUBE FILTER,1,"2,091.00"
5079,10-Nov-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,10,442
5082,10-Nov-17,SERVICE CONTRACT DELIVERIES,LF16011,LUBE FILTER (Reps LF3855),1,"2,067.20"
5085,10-Nov-17,CASH SALES - CUMMINS,AF25904,AIR FILTER-PRIMARY,1,"8,635.00"
5086,10-Nov-17,CASH SALES - CUMMINS,LF700,LUBE FILTER,1,"1,106.00"
5087,10-Nov-17,CASH SALES - CUMMINS,881949,PREMIUM BLUE -1  LITRE,10,520
5089,10-Nov-17,CASH SALES - CUMMINS,FF51030,FUEL FILTER,1,838.76
5099,10-Nov-17,CASH SALES - CUMMINS,AF26186,AIR FILTER-PRIMARY,1,"3,300.00"
5100,10-Nov-17,CASH SALES - CUMMINS,FF5114,FUEL FILTER SPINON,1,"1,150.00"
5101,10-Nov-17,CASH SALES - CUMMINS,LF16011,OIL FILTER SYNTHETIC SPIN,1,"1,500.00"
5102,10-Nov-17,CUMMINS C&G LIMITED,881949,PREMIUM BLUE -1  LITRE,40,281.45
5105,10-Nov-17,SERVICE CONTRACT DELIVERIES,FS1280,FUEL SEPARATOR,1,"5,785.00"
5106,10-Nov-17,SERVICE CONTRACT DELIVERIES,LF3959,OIL FILTER CELLULOSE SPIN,1,"1,506.25"
5108,10-Nov-17,SERVICE CONTRACT DELIVERIES,AF25910,AIR FILTER-PRIMARY,1,"24,164.75"
5109,10-Nov-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
5110,10-Dec-17,SERVICE CONTRACT DELIVERIES,LF16015,OIL FILTER CELLULOSE SPIN,1,"2,798.20"
5111,10-Dec-17,SERVICE CONTRACT DELIVERIES,FS19584,FUEL FILTER,1,"2,499.00"
5112,10-Dec-17,SERVICE CONTRACT DELIVERIES,FF5485,FUEL FILTER,1,"4,662.25"
5113,10-Dec-17,SERVICE CONTRACT DELIVERIES,AH1136,AIR CLEANER,1,"9,711.25"
5114,10-Dec-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
5115,10-Dec-17,SERVICE CONTRACT DELIVERIES,FF5135,FUEL FILTER SPINON,1,"1,292.00"
5116,10-Dec-17,SERVICE CONTRACT DELIVERIES,LF3000,LUBE FILTER,1,"5,100.00"
5117,10-Dec-17,SERVICE CONTRACT DELIVERIES,AF1811,AIR CLEANER,1,"6,318.05"
5118,10-Dec-17,SERVICE CONTRACT DELIVERIES,WF2076,DCA4 WATER FILTER,1,"3,278.45"
5119,10-Dec-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,25,442
5124,10-Dec-17,HON.MOODY AWORI,881949,PREMIUM BLUE -1  LITRE,10,520
5125,10-Dec-17,HON.MOODY AWORI,FF5524,FUEL FILTER,2,762
5126,10-Dec-17,HON.MOODY AWORI,LF3605,AIR FILTER,1,"1,357.00"
5129,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,881949,PREMIUM BLUE -1  LITRE,10,520
5131,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,AF26093,AIR FILTER,1,"3,161.00"
5132,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,LF16061,OIL FILTER COMBO SPINON,1,"4,700.00"
5133,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,AF26094,AIR FILTER-PRIMARY,1,"10,601.00"
5135,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,AF25904,AIR FILTER-PRIMARY,1,"14,972.00"
5136,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,LF16011,OIL FILTER SYNTHETIC SPIN,1,"7,037.00"
5137,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,FS1280,FUEL SEPARATOR,1,"6,840.00"
5138,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,881949,PREMIUM BLUE -1  LITRE,10,520
5140,10-Dec-17,CASH SALES - CUMMINS,LF9030,OIL FILTER COMBO SPINON,10,"2,500.00"
5141,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,881949,PREMIUM BLUE -1  LITRE,10,520
5142,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,FF5524,FUEL FILTER,2,669
5144,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,AF25904,AIR FILTER-PRIMARY,1,"10,601.00"
5145,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,LF16061,OIL FILTER COMBO SPINON,1,"4,700.00"
5149,10-Dec-17,CASH SALES - CUMMINS,AF928M,AIR CLEANER,1,"8,200.00"
5152,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,881949,PREMIUM BLUE -1  LITRE,25,500
5153,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,FF5485,FUEL FILTER,1,"1,640.70"
5154,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,LF3970,LUBE FILTER,1,"2,051.10"
5157,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,AF26094,AIR FILTER-PRIMARY,1,"10,128.60"
5158,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,881949,PREMIUM BLUE -1  LITRE,10,500
5160,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,AF26093,AIR FILTER,1,"2,387.70"
5161,10-Dec-17,ALL TERRAIN SERVICES KENYA LTD,LF16061,OIL FILTER COMBO SPINON,1,"3,430.80"
5162,10-Dec-17,LIBYA OIL KENYA LTD,FS1280,FUEL SEPARATOR,1,"5,357.00"
5165,13-Oct-17,STANLEY HOTEL NAIROBI,881949,PREMIUM BLUE -1  LITRE,50,520
5166,13-Oct-17,STANLEY HOTEL NAIROBI,LF777,OIL FILTER CELLULOSE SPIN,1,"3,631.00"
5167,13-Oct-17,STANLEY HOTEL NAIROBI,LF670,OIL FILTER CELLULOSE SPIN,2,"6,328.00"
5168,13-Oct-17,STANLEY HOTEL NAIROBI,FF105,FUEL FILTER,2,"1,048.00"
5169,13-Oct-17,STANLEY HOTEL NAIROBI,AH1101,AIR FILTER,1,"29,091.00"
5170,13-Oct-17,STANLEY HOTEL NAIROBI,WF2054,WATER FILTER,1,"2,987.00"
5171,13-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
5172,13-Oct-17,SERVICE CONTRACT DELIVERIES,LF701,OIL FILTER,1,"1,014.90"
5174,13-Oct-17,SERVICE CONTRACT DELIVERIES,AF25557,AIR FILTER,1,"3,368.55"
5175,13-Oct-17,MR. R. C. KANTARIA,881949,PREMIUM BLUE -1  LITRE,10,442
5176,13-Oct-17,MR. R. C. KANTARIA,AF26186,AIR FILTER-PRIMARY,1,"6,720.95"
5177,13-Oct-17,MR. R. C. KANTARIA,LF16011,LUBE FILTER (Reps LF3855),1,"1,023.40"
5178,13-Oct-17,MR. R. C. KANTARIA,FF5114,FUEL FILTER SPINON,1,"2,125.85"
5179,13-Oct-17,SERVICE CONTRACT DELIVERIES,FS1280,FUEL SEPARATOR,1,"2,127.50"
5181,13-Oct-17,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE -1  LITRE,15,442
5182,13-Oct-17,SERVICE CONTRACT DELIVERIES,AF4709,AIR FILTER-PRIMARY,1,"6,721.00"
5183,13-Oct-17,MIDLAND AUTOCARE LTD,881949,PREMIUM BLUE -1  LITRE,10,520
5184,13-Oct-17,MIDLAND AUTOCARE LTD,LF16061,LUBE FILTER,1,"2,309.00"
5185,13-Oct-17,MIDLAND AUTOCARE LTD,FF5524,FUEL FILTER,2,725
5187,13-Oct-17,GEM MANAGEMENT,LF701,OIL FILTER,1,"1,253.00"
5188,13-Oct-17,GEM MANAGEMENT,881949,PREMIUM BLUE -1  LITRE,10,520
5189,13-Oct-17,PRIME EXECUTIVE APPARTMENTS,LF3349,LUBE FILTER,1,"1,204.00"
5190,13-Oct-17,PRIME EXECUTIVE APPARTMENTS,881949,PREMIUM BLUE -1  LITRE,15,520
5191,13-Oct-17,PRIME EXECUTIVE APPARTMENTS,AH8742-C,DIRECT MOUNT AIR SYSTEM,1,"7,907.00"
5193,13-Oct-17,C&G ENGINEERING,AF26186,AIR FILTER-PRIMARY,1,"9,703.00"
5194,13-Oct-17,C&G ENGINEERING,LF16011,LUBE FILTER (Reps LF3855),1,"6,886.90"
5195,13-Oct-17,C&G ENGINEERING,FF5114,FUEL FILTER SPINON,1,"7,035.00"
5200,13-Oct-17,CASH SALES - CUMMINS,LF16015,OIL FILTER CELLULOSE SPIN,1,"2,400.00"
5201,13-Oct-17,CASH SALES - CUMMINS,FF5485,FUEL FILTER,1,"2,300.00"
